timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-19T12:37:59.867Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,324,112,0.2881,45.6,324,1060.8,N/A,3293.3,3305.6,258,13.27,0,60
2026-05-19T12:38:02.468Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,280,N/A,0.1216,36.5,280,541.1,N/A,1237,1238.3,120,3.45,0,60
2026-05-19T12:38:03.866Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,280,160,0.1216,36.5,280,541.1,N/A,1237,1238.3,15,0,0,60
2026-05-19T12:38:05.985Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,304,N/A,0.0903,33.6,304,503.1,N/A,1057,1058,144,2.39,0,60
2026-05-19T12:38:08.663Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,428,N/A,0.0074,31.2,428,465.2,N/A,1550,1551.9,121,1.77,0,60
2026-05-19T12:38:16.672Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,392,N/A,0.0492,9,392,744.7,N/A,4089,4137.6,14,0,0,60
2026-05-19T12:38:24.451Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,356,72,0.2881,45.4,356,1042.7,N/A,3290.7,3316.9,254,13.07,0,60
2026-05-19T12:38:27.109Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,272,N/A,0.1474,33.2,272,550.1,N/A,1305.6,1305.9,117,2.62,0,60
2026-05-19T12:38:28.666Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,272,264,0.1474,33.2,272,550.1,N/A,1305.6,1305.9,17,0.09,0,60
2026-05-19T12:38:30.895Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,408,N/A,0.0903,49.1,408,485.6,N/A,1153.4,1154.9,138,2.28,0,60
2026-05-19T12:38:33.923Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,432,N/A,0.0077,33.9,432,562.7,N/A,1818.8,1821.4,123,1.84,0,60
2026-05-19T12:38:42.125Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,140,N/A,0.0492,N/A,140,376.6,N/A,3804.3,3835.2,14,0,0,60
2026-05-19T12:38:50.261Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,400,64,0.2881,35.7,400,1057.1,N/A,3208.4,3231.5,257,12.71,0,60
2026-05-19T12:38:52.930Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,264,N/A,0.1216,28.6,264,511.3,N/A,1239.2,1239.4,124,2.62,0,60
2026-05-19T12:38:54.226Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,264,216,0.1216,28.6,264,511.3,N/A,1239.2,1239.4,10,0,0,60
2026-05-19T12:38:56.364Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,392,N/A,0.0903,34.7,392,465.1,N/A,1068.3,1069.2,140,2.27,0,60
2026-05-19T12:38:59.098Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,472,N/A,0.0074,31.7,472,515.2,N/A,1599.9,1601.9,118,1.77,0,60
2026-05-19T12:39:07.143Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,232,N/A,0.0492,N/A,232,368.8,N/A,3731.7,3776,14,0,0,60
2026-05-19T12:39:15.013Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,364,128,0.2881,32.5,364,1032.7,N/A,3293.3,3302.4,264,12.88,0,60
2026-05-19T12:39:17.651Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,296,N/A,0.1216,33.9,296,532.7,N/A,1259.6,1259.9,121,2.64,0,60
2026-05-19T12:39:19.028Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,296,240,0.1216,33.9,296,532.7,N/A,1259.6,1259.9,12,0,0,60
2026-05-19T12:39:21.239Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,420,N/A,0.0903,31.9,420,496.9,N/A,1135.9,1137.7,145,2.37,0,60
2026-05-19T12:39:23.927Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,312,N/A,0,42.7,312,522.9,N/A,1542.2,1543.7,119,1.76,0,60
2026-05-19T12:39:31.964Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,148,N/A,0.0493,N/A,148,324.8,N/A,3658.7,3683.2,14,0,0,60
2026-05-19T12:39:39.535Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,400,88,0.2881,49,400,1083.2,N/A,3267.6,3306.7,254,12.79,0,60
2026-05-19T12:39:42.124Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,296,N/A,0.1216,41.2,296,506.5,N/A,1209,1209.4,124,2.73,0,60
2026-05-19T12:39:43.396Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,296,192,0.1216,41.2,296,506.5,N/A,1209,1209.4,15,0,0,60
2026-05-19T12:39:45.636Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,380,N/A,0.0903,35.8,380,522,N/A,1150.3,1152,145,2.37,0,60
2026-05-19T12:39:48.321Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,404,N/A,0.0077,40.7,404,520.8,N/A,1532.9,1534.5,118,1.76,0,60
2026-05-19T12:39:56.738Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,660,N/A,0.0492,7,660,999.8,N/A,4461.1,4488.6,14,0,0,60
2026-05-19T12:40:04.872Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,388,64,0.2881,51,388,1135.3,N/A,3447.2,3455.8,263,12.88,0,60
2026-05-19T12:40:07.411Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,284,N/A,0.1216,45.1,284,539,N/A,1247.4,1247.8,116,2.55,0,60
2026-05-19T12:40:08.779Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,284,136,0.1216,45.1,284,539,N/A,1247.4,1247.8,16,0.09,0,60
2026-05-19T12:40:10.944Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,200,N/A,0.0903,46,200,498.9,N/A,1072,1073,140,2.27,0,60
2026-05-19T12:40:13.081Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,228,N/A,0.0011,38.8,228,403.7,N/A,1050,1050.6,115,1.75,0,60
2026-05-19T12:40:21.130Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,560,N/A,0.0492,12,560,732,N/A,4148.9,4177,18,0.02,0,60
2026-05-19T12:40:28.942Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,424,72,0.2881,62.9,424,1104.2,N/A,3252.5,3276.6,267,13.33,0,60
2026-05-19T12:40:31.566Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,352,N/A,0.1216,86.2,352,591,N/A,1283.7,1284,122,2.64,0,60
2026-05-19T12:40:32.855Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,352,184,0.1216,86.2,352,591,N/A,1283.7,1284,9,0,0,60
2026-05-19T12:40:35.096Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,408,N/A,0.0903,40.5,408,459.5,N/A,1135.3,1138.2,146,2.37,0,60
2026-05-19T12:40:37.875Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,384,N/A,0.0074,51.8,384,503.9,N/A,1638.7,1640.5,122,1.76,0,60
2026-05-19T12:40:45.994Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,168,N/A,0.0492,N/A,168,409.7,N/A,3765.1,3812.4,13,0,0,60
