timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-19T12:39:16.477Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,264,N/A,0.1216,37.6,264,492.3,N/A,1238.5,1238.7,119,2.62,0,60
2026-05-19T12:39:17.936Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,264,208,0.1216,37.6,264,492.3,N/A,1238.5,1238.7,14,0.09,0,60
2026-05-19T12:39:20.111Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,460,N/A,0.0903,30.3,460,521.6,N/A,1111.1,1112.2,147,2.35,0,60
2026-05-19T12:39:23.011Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,316,N/A,0.001,34.7,316,550.9,N/A,1700.6,1703.3,123,1.75,0,60
2026-05-19T12:39:31.235Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,380,N/A,0.0561,14.3,380,748.2,N/A,4310.1,4340.9,16,0.02,0,60
2026-05-19T12:39:39.210Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,244,80,0,40.4,244,1007.1,N/A,3258.5,3267.3,255,12.71,0,60
2026-05-19T12:39:41.738Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,556,N/A,0.0095,32.4,556,452.4,N/A,1300.5,1300.7,114,2.53,0,60
2026-05-19T12:39:43.126Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,556,168,0.0095,32.4,556,452.4,N/A,1300.5,1300.7,15,0.09,0,60
2026-05-19T12:39:45.423Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,356,N/A,0.0903,33,356,517.7,N/A,1198.2,1199.9,144,2.37,0,60
2026-05-19T12:39:47.704Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,284,N/A,0.0077,30.9,284,547.3,N/A,1089.9,1090.2,119,1.73,0,60
2026-05-19T12:39:55.958Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,672,N/A,0.0492,13,672,828.9,N/A,4266.9,4289.7,18,0.02,0,60
